"id","parent_id","name","fullname","parent_name","name_ru","vehicle_type_id","slug","source","parent_model_id","freq"
18646,18645,"5500HT","","Uttern","",6,"5500ht","ilya_add",NULL,0
18647,18645,"C66","","Uttern","",6,"c66","ilya_add",NULL,0
18648,18645,"C68","","Uttern","",6,"c68","ilya_add",NULL,0
18649,18645,"D55","","Uttern","",6,"d55","ilya_add",NULL,0
18650,18645,"D66","","Uttern","",6,"d66","ilya_add",NULL,0
18651,18645,"D57","","Uttern","",6,"d57","ilya_add",NULL,0
18652,NULL,"Сосновский судостроительный завод","Сосновский судостроительный завод","","",NULL,"sosnovskijsudostroitelnyijzavod","ilya_add",NULL,0
18653,18652,"Т-63","","Сосновский судостроительный завод","",6,"t63","ilya_add",NULL,0
18654,18652,"Чибис","","Сосновский судостроительный завод","",6,"chibis","ilya_add",NULL,0
18655,NULL,"Cobalt Boats","Cobalt Boats","","",NULL,"cobaltboats","ilya_add",NULL,0
18656,18655,"A-Series","","Cobalt Boats","",6,"a","ilya_add",NULL,0
18657,18655,"Cobalt 273","","Cobalt Boats","",6,"cobalt273","ilya_add",NULL,0
18658,18655,"Cobalt 282","","Cobalt Boats","",6,"cobalt282","ilya_add",NULL,0
18659,18655,"Cobalt 360","","Cobalt Boats","",6,"cobalt360","ilya_add",NULL,0
18660,18655,"SD-Series","","Cobalt Boats","",6,"sd","ilya_add",NULL,0
18661,18655,"Cobalt 220","","Cobalt Boats","",6,"cobalt220","ilya_add",NULL,0
18662,18655,"Cobalt 276","","Cobalt Boats","",6,"cobalt276","ilya_add",NULL,0
18663,18655,"Cobalt 323","","Cobalt Boats","",6,"cobalt323","ilya_add",NULL,0
18664,18655,"R-Series","","Cobalt Boats","",6,"r","ilya_add",NULL,0
18665,18655,"WSS","","Cobalt Boats","",6,"wss","ilya_add",NULL,0
18666,18655,"Cobalt 243","","Cobalt Boats","",6,"cobalt243","ilya_add",NULL,0
18667,NULL,"Integrity","Integrity","","",NULL,"integrity","ilya_add",NULL,0
18668,18667,"346ES","","Integrity","",6,"346es","ilya_add",NULL,0
18669,18667,"426CE","","Integrity","",6,"426ce","ilya_add",NULL,0
18670,18667,"466CMY","","Integrity","",6,"466cmy","ilya_add",NULL,0
18671,18667,"526CE","","Integrity","",6,"526ce","ilya_add",NULL,0
18672,18667,"626CE","","Integrity","",6,"626ce","ilya_add",NULL,0
18673,18667,"386ES","","Integrity","",6,"386es","ilya_add",NULL,0
18674,18667,"426ES","","Integrity","",6,"426es","ilya_add",NULL,0
18675,NULL,"Pro-Line","Pro-Line","","",NULL,"proline","ilya_add",NULL,0
18676,18675,"20WA","","Pro-Line","",6,"20wa","ilya_add",NULL,0
18677,18675,"21WA","","Pro-Line","",6,"21wa","ilya_add",NULL,0
18678,18675,"23XP","","Pro-Line","",6,"23xp","ilya_add",NULL,0
18679,NULL,"VanDerHeijden","VanDerHeijden","","",NULL,"vanderheijden","ilya_add",NULL,0
18680,18679,"Dynamic Deluxe","","VanDerHeijden","",6,"dynamicdeluxe","ilya_add",NULL,0
18681,NULL,"СПТБ","СПТБ","","",NULL,"sptb","ilya_add",NULL,0
18682,18681,"777","","СПТБ","",6,"777","ilya_add",NULL,0
18683,NULL,"Cobia Boats","Cobia Boats","","",NULL,"cobiaboats","ilya_add",NULL,0
18684,18683,"256","","Cobia Boats","",6,"256","ilya_add",NULL,0
18685,NULL,"Intermare","Intermare","","",NULL,"intermare","ilya_add",NULL,0
